epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5597,2.7146,56.5857,2.81011,0,0,0,0,nan,nan,nan,0.073,0.003,0.003
2,44.4454,3.22297,21.5925,3.23747,0,0,0,0,nan,nan,nan,0.0450597,0.00605974,0.00605974
3,57.9267,2.87976,21.3798,3.14021,0,0,0,0,nan,nan,nan,0.0170786,0.00907856,0.00907856
4,72.1722,2.73893,20.2645,3.16325,0.00428,0.02329,0.00058,0.00012,nan,nan,nan,0.009802,0.009802,0.009802
5,86.6958,2.71735,19.5893,3.11626,0.51665,0.02329,0.00653,0.00167,nan,nan,nan,0.009736,0.009736,0.009736
6,100.974,2.65384,19.4371,3.0717,0.03605,0.10783,0.02186,0.00552,nan,nan,nan,0.00967,0.00967,0.00967
7,114.686,2.61783,18.6423,3.04843,0.01195,0.08696,0.00846,0.00221,nan,nan,nan,0.009604,0.009604,0.009604
8,129.203,2.60394,18.6183,3.02286,0.03548,0.05331,0.01031,0.00306,nan,nan,nan,0.009538,0.009538,0.009538
9,144.791,2.58661,18.2481,2.97408,0.57881,0.0559,0.03562,0.00914,2.82812,25.8877,3.35472,0.009472,0.009472,0.009472
10,158.649,2.58603,18.3936,2.95011,0.61437,0.02174,0.02747,0.00799,nan,nan,nan,0.009406,0.009406,0.009406
11,172.184,2.55296,17.9476,2.93167,0.01261,0.0559,0.0134,0.00411,nan,nan,nan,0.00934,0.00934,0.00934
12,185.727,2.51876,17.5755,2.91513,0.59657,0.01863,0.01772,0.0054,nan,nan,nan,0.009274,0.009274,0.009274
13,199.325,2.49099,17.3014,2.8984,0.06776,0.07678,0.02656,0.00755,nan,nan,nan,0.009208,0.009208,0.009208
14,212.968,2.46821,17.0905,2.8925,0.67834,0.07764,0.07454,0.02272,nan,nan,nan,0.009142,0.009142,0.009142
15,226.823,2.45889,17.2953,2.83237,0.0726,0.08092,0.02611,0.00778,nan,nan,nan,0.009076,0.009076,0.009076
16,240.464,2.43968,16.837,2.86002,0.0714,0.14337,0.03824,0.01132,nan,nan,nan,0.00901,0.00901,0.00901
17,254.028,2.4643,17.1331,2.87293,0.04309,0.08144,0.01585,0.00458,nan,nan,nan,0.008944,0.008944,0.008944
